dateday,year,month,holiday,weekday,workingday,weather_condition,apparent_temperature,total_rentals
2011-02-10,2011,Feb,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,6.131467999999999,1538
2011-02-11,2011,Feb,No Holiday,Friday,Working Day,Clear/Partly Cloudy,8.753869,1746
2011-02-12,2011,Feb,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,9.551114,1472
2011-02-13,2011,Feb,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,13.288632999999999,1589
2011-02-14,2011,Feb,No Holiday,Monday,Working Day,Clear/Partly Cloudy,16.332349999999998,1913
2011-02-15,2011,Feb,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,10.425234,1815
2011-02-16,2011,Feb,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,12.9642,2115
2011-02-17,2011,Feb,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,17.574977999999998,2475
2011-02-18,2011,Feb,No Holiday,Friday,Working Day,Clear/Partly Cloudy,20.991303,2927
2011-02-19,2011,Feb,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,16.047563999999998,1635
2011-02-20,2011,Feb,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,11.37053,1812
2011-02-21,2011,Feb,Holiday,Monday,Non-Working Day,Misty/Cloudy,11.647075000000001,1107
2011-02-22,2011,Feb,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,7.627353,1450
2011-02-23,2011,Feb,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,10.074397,1917
2011-02-24,2011,Feb,No Holiday,Thursday,Working Day,Misty/Cloudy,11.856831,1807
2011-02-25,2011,Feb,No Holiday,Friday,Working Day,Misty/Cloudy,14.368901000000001,1461
2011-02-26,2011,Feb,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,11.569872,1969
2011-02-27,2011,Feb,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,14.395469,2402
2011-02-28,2011,Feb,No Holiday,Monday,Working Day,Misty/Cloudy,16.404837999999998,1446
2011-03-01,2011,March,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,10.819038999999998,1851
2011-03-02,2011,March,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,13.122911,2134
2011-03-03,2011,March,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,8.205453,1685
2011-03-04,2011,March,No Holiday,Friday,Working Day,Misty/Cloudy,10.482839,1944
2011-03-05,2011,March,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,15.529938999999999,2077
2011-03-06,2011,March,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,15.016332,605
2011-03-07,2011,March,No Holiday,Monday,Working Day,Clear/Partly Cloudy,9.776901,1872
2011-03-08,2011,March,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.3984,2133
2011-03-09,2011,March,No Holiday,Wednesday,Working Day,Misty/Cloudy,11.750927999999998,1891
2011-03-10,2011,March,No Holiday,Thursday,Working Day,Light Rain/Snow,15.812388,623
2011-03-11,2011,March,No Holiday,Friday,Working Day,Misty/Cloudy,12.504999999999999,1977
2011-03-12,2011,March,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,13.355749999999999,2132
2011-03-13,2011,March,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,15.583731,2417
2011-03-14,2011,March,No Holiday,Monday,Working Day,Clear/Partly Cloudy,13.612,2046
2011-03-15,2011,March,No Holiday,Tuesday,Working Day,Misty/Cloudy,13.045298,2056
2011-03-16,2011,March,No Holiday,Wednesday,Working Day,Misty/Cloudy,15.04413,2192
2011-03-17,2011,March,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,16.823653,2744
2011-03-18,2011,March,No Holiday,Friday,Working Day,Clear/Partly Cloudy,21.607369,3239
2011-03-19,2011,March,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,19.127525000000002,3117
2011-03-20,2011,March,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,13.355749999999999,2471
2011-03-21,2011,March,No Holiday,Monday,Working Day,Misty/Cloudy,16.799135,2077
2011-03-22,2011,March,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.066322,2703
2011-03-23,2011,March,No Holiday,Wednesday,Working Day,Misty/Cloudy,13.855499,2121
2011-03-24,2011,March,No Holiday,Thursday,Working Day,Misty/Cloudy,11.104153,1865
2011-03-25,2011,March,No Holiday,Friday,Working Day,Clear/Partly Cloudy,10.508792,2210
2011-03-26,2011,March,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,10.560411,2496
2011-03-27,2011,March,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,10.263898999999999,1693
2011-03-28,2011,March,No Holiday,Monday,Working Day,Clear/Partly Cloudy,10.560534,2028
2011-03-29,2011,March,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.009228,2425
2011-03-30,2011,March,No Holiday,Wednesday,Working Day,Misty/Cloudy,12.19135,1536
2011-03-31,2011,March,No Holiday,Thursday,Working Day,Light Rain/Snow,10.560575,1685
2011-04-01,2011,April,No Holiday,Friday,Working Day,Misty/Cloudy,11.621614,2227
2011-04-02,2011,April,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,12.941117,2252
2011-04-03,2011,April,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,15.529447000000001,3249
2011-04-04,2011,April,No Holiday,Monday,Working Day,Clear/Partly Cloudy,22.260089,3115
2011-04-05,2011,April,No Holiday,Tuesday,Working Day,Misty/Cloudy,16.332349999999998,1795
2011-04-06,2011,April,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,15.891928,2808
2011-04-07,2011,April,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,17.781536000000003,3141
2011-04-08,2011,April,No Holiday,Friday,Working Day,Misty/Cloudy,13.303639,1471
2011-04-09,2011,April,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,14.002689000000002,2455
2011-04-10,2011,April,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,17.496216999999998,2895
2011-04-11,2011,April,No Holiday,Monday,Working Day,Misty/Cloudy,23.173897,3348
2011-04-12,2011,April,No Holiday,Tuesday,Working Day,Misty/Cloudy,20.215214,2034
2011-04-13,2011,April,No Holiday,Wednesday,Working Day,Misty/Cloudy,17.108603000000002,2162
2011-04-14,2011,April,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.972421999999998,3267
2011-04-15,2011,April,Holiday,Friday,Non-Working Day,Clear/Partly Cloudy,18.118433,3126
2011-04-16,2011,April,No Holiday,Saturday,Non-Working Day,Light Rain/Snow,17.445172,795
2011-04-17,2011,April,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,18.273536,3744
2011-04-18,2011,April,No Holiday,Monday,Working Day,Clear/Partly Cloudy,20.628985999999998,3429
2011-04-19,2011,April,No Holiday,Tuesday,Working Day,Misty/Cloudy,20.059578000000002,3204
2011-04-20,2011,April,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,23.140072,3944
2011-04-21,2011,April,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.609572,4189
2011-04-22,2011,April,No Holiday,Friday,Working Day,Misty/Cloudy,13.200114000000001,1683
2011-04-23,2011,April,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,18.454961,4036
2011-04-24,2011,April,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,22.622283,4191
2011-04-25,2011,April,No Holiday,Monday,Working Day,Clear/Partly Cloudy,23.5545,4073
2011-04-26,2011,April,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,24.357403,4400
2011-04-27,2011,April,No Holiday,Wednesday,Working Day,Misty/Cloudy,23.580822,3872
2011-04-28,2011,April,No Holiday,Thursday,Working Day,Misty/Cloudy,23.736089,4058
2011-04-29,2011,April,No Holiday,Friday,Working Day,Clear/Partly Cloudy,20.395983,4595
2011-04-30,2011,April,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,19.024861,5312
2011-05-01,2011,May,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,18.376364,3351
2011-05-02,2011,May,No Holiday,Monday,Working Day,Misty/Cloudy,21.846153,4401
2011-05-03,2011,May,No Holiday,Tuesday,Working Day,Misty/Cloudy,23.865239,4451
2011-05-04,2011,May,No Holiday,Wednesday,Working Day,Misty/Cloudy,16.59065,2633
2011-05-05,2011,May,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.118597,4433
2011-05-06,2011,May,No Holiday,Friday,Working Day,Clear/Partly Cloudy,19.438797,4608
2011-05-07,2011,May,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,21.017461,4714
2011-05-08,2011,May,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,21.276253,4333
2011-05-09,2011,May,No Holiday,Monday,Working Day,Clear/Partly Cloudy,21.535086,4362
2011-05-10,2011,May,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,21.431561,4803
2011-05-11,2011,May,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,21.6644,4182
2011-05-12,2011,May,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,21.457883000000002,4864
2011-05-13,2011,May,No Holiday,Friday,Working Day,Misty/Cloudy,20.2663,4105
2011-05-14,2011,May,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,20.525789,3409
2011-05-15,2011,May,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,21.976000000000003,4553
2011-05-16,2011,May,No Holiday,Monday,Working Day,Clear/Partly Cloudy,22.570992,3958
2011-05-17,2011,May,No Holiday,Tuesday,Working Day,Misty/Cloudy,22.079689000000002,4123
2011-05-18,2011,May,No Holiday,Wednesday,Working Day,Misty/Cloudy,21.613478,3855
2011-05-19,2011,May,No Holiday,Thursday,Working Day,Misty/Cloudy,20.940422,4575
2011-05-20,2011,May,No Holiday,Friday,Working Day,Clear/Partly Cloudy,21.690722,4917
2011-05-21,2011,May,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,23.450975,5805
2011-05-22,2011,May,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,23.5545,4660
2011-05-23,2011,May,No Holiday,Monday,Working Day,Misty/Cloudy,24.202136000000003,4274
2011-05-24,2011,May,No Holiday,Tuesday,Working Day,Misty/Cloudy,24.797333000000002,4492
2011-05-25,2011,May,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.237222000000003,4978
2011-05-26,2011,May,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,26.842208000000003,4677
2011-05-27,2011,May,No Holiday,Friday,Working Day,Clear/Partly Cloudy,26.117328,4679
2011-05-28,2011,May,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,25.107539,4758
2011-05-29,2011,May,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,25.237550000000002,4788
2011-05-30,2011,May,Holiday,Monday,Non-Working Day,Clear/Partly Cloudy,27.514772,4098
2011-05-31,2011,May,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,29.740703,3982
2011-06-01,2011,June,No Holiday,Wednesday,Working Day,Misty/Cloudy,29.559647000000002,3974
2011-06-02,2011,June,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,26.401622,4968
2011-06-03,2011,June,No Holiday,Friday,Working Day,Clear/Partly Cloudy,24.072453,5312
2011-06-04,2011,June,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,24.382536,5342
2011-06-05,2011,June,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,25.288964,4906
2011-06-06,2011,June,No Holiday,Monday,Working Day,Clear/Partly Cloudy,25.496178,4548
2011-06-07,2011,June,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,26.89395,4833
2011-06-08,2011,June,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,29.818439,4401
2011-06-09,2011,June,No Holiday,Thursday,Working Day,Misty/Cloudy,31.060739,3915
2011-06-10,2011,June,No Holiday,Friday,Working Day,Clear/Partly Cloudy,28.834972,4586
2011-06-11,2011,June,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,27.799558,4966
2011-06-12,2011,June,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,26.376325,4460
2011-06-13,2011,June,No Holiday,Monday,Working Day,Clear/Partly Cloudy,24.667814,5020
2011-06-14,2011,June,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,24.253386,4891
2011-06-15,2011,June,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,24.097914,5180
2011-06-16,2011,June,No Holiday,Thursday,Working Day,Misty/Cloudy,24.409186000000002,3767
2011-06-17,2011,June,No Holiday,Friday,Working Day,Clear/Partly Cloudy,24.615703,4844
2011-06-18,2011,June,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,26.402114,5119
2011-06-19,2011,June,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,26.479686,4744
2011-06-20,2011,June,No Holiday,Monday,Working Day,Misty/Cloudy,24.409186000000002,4010
2011-06-21,2011,June,No Holiday,Tuesday,Working Day,Misty/Cloudy,26.143486000000003,4835
2011-06-22,2011,June,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,28.446989000000002,4507
2011-06-23,2011,June,No Holiday,Thursday,Working Day,Misty/Cloudy,28.447153,4790
2011-06-24,2011,June,No Holiday,Friday,Working Day,Clear/Partly Cloudy,26.919903,4991
2011-06-25,2011,June,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,26.375833,5202
2011-06-26,2011,June,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,26.142789,5305
2011-06-27,2011,June,No Holiday,Monday,Working Day,Misty/Cloudy,26.117164,4708
2011-06-28,2011,June,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,28.394878,4648
2011-06-29,2011,June,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,26.842208000000003,5225
2011-06-30,2011,June,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,26.117328,5515
2011-07-01,2011,July,No Holiday,Friday,Working Day,Clear/Partly Cloudy,26.738642000000002,5362
2011-07-02,2011,July,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,27.359628,5119
2011-07-03,2011,July,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,27.411575000000003,4649
2011-07-04,2011,July,Holiday,Monday,Non-Working Day,Misty/Cloudy,27.282097,6043
2011-07-05,2011,July,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,28.549858,4665
2011-07-06,2011,July,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,28.110953000000002,4629
2011-07-07,2011,July,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,28.161711,4592
2011-07-08,2011,July,No Holiday,Friday,Working Day,Misty/Cloudy,27.489803000000002,4040
2011-07-09,2011,July,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,27.230478,5336
2011-07-10,2011,July,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,28.291025,4881
2011-07-11,2011,July,No Holiday,Monday,Working Day,Clear/Partly Cloudy,29.921964,4086
2011-07-12,2011,July,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,30.310275,4258
2011-07-13,2011,July,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,28.265564,4342
2011-07-14,2011,July,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,26.039264,5084
2011-07-15,2011,July,No Holiday,Friday,Working Day,Clear/Partly Cloudy,25.599211,5538
2011-07-16,2011,July,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,26.168783,5923
2011-07-17,2011,July,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,27.463153000000002,5302
2011-07-18,2011,July,No Holiday,Monday,Working Day,Clear/Partly Cloudy,28.860925,4458
2011-07-19,2011,July,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,30.646639,4541
2011-07-20,2011,July,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,30.62085,4332
2011-07-21,2011,July,No Holiday,Thursday,Working Day,Misty/Cloudy,33.881211,3784
2011-07-22,2011,July,No Holiday,Friday,Working Day,Clear/Partly Cloudy,34.476736,3387
2011-07-23,2011,July,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,32.975767,3285
2011-07-24,2011,July,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,32.587989,3606
2011-07-25,2011,July,No Holiday,Monday,Working Day,Clear/Partly Cloudy,29.559278,3840
2011-07-26,2011,July,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,28.576139,4590
2011-07-27,2011,July,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,28.317347,4656
2011-07-28,2011,July,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,30.3359,4390
2011-07-29,2011,July,No Holiday,Friday,Working Day,Clear/Partly Cloudy,32.224647,3846
2011-07-30,2011,July,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,29.870017,4475
2011-07-31,2011,July,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,29.921636,4302
2011-08-01,2011,Aug,No Holiday,Monday,Working Day,Clear/Partly Cloudy,28.834972,4266
2011-08-02,2011,Aug,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,28.989911,4845
2011-08-03,2011,Aug,No Holiday,Wednesday,Working Day,Misty/Cloudy,27.877417,3574
2011-08-04,2011,Aug,No Holiday,Thursday,Working Day,Misty/Cloudy,27.256308,4576
2011-08-05,2011,Aug,No Holiday,Friday,Working Day,Clear/Partly Cloudy,26.919247000000002,4866
2011-08-06,2011,Aug,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,27.722314,4294
2011-08-07,2011,Aug,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,29.326972,3785
2011-08-08,2011,Aug,No Holiday,Monday,Working Day,Clear/Partly Cloudy,28.834603,4326
2011-08-09,2011,Aug,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,29.688961,4602
2011-08-10,2011,Aug,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,28.084303000000002,4780
2011-08-11,2011,Aug,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,26.712361,4792
2011-08-12,2011,Aug,No Holiday,Friday,Working Day,Clear/Partly Cloudy,26.815722,4905
2011-08-13,2011,Aug,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,26.480178000000002,4150
2011-08-14,2011,Aug,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,25.599908000000003,3820
2011-08-15,2011,Aug,No Holiday,Monday,Working Day,Clear/Partly Cloudy,25.262847,4338
2011-08-16,2011,Aug,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,26.479316999999998,4725
2011-08-17,2011,Aug,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,27.333511,4694
2011-08-18,2011,Aug,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,27.152578000000002,3805
2011-08-19,2011,Aug,No Holiday,Friday,Working Day,Misty/Cloudy,25.962061000000002,4153
2011-08-20,2011,Aug,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,26.608836,5191
2011-08-21,2011,Aug,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,27.696525,3873
2011-08-22,2011,Aug,No Holiday,Monday,Working Day,Clear/Partly Cloudy,26.168414,4758
2011-08-23,2011,Aug,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,24.848747,5895
2011-08-24,2011,Aug,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.858372000000003,5130
2011-08-25,2011,Aug,No Holiday,Thursday,Working Day,Misty/Cloudy,26.480014,3542
2011-08-26,2011,Aug,No Holiday,Friday,Working Day,Clear/Partly Cloudy,27.049053,4661
2011-08-27,2011,Aug,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,26.057796,1115
2011-08-28,2011,Aug,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,26.566318999999996,4334
2011-08-29,2011,Aug,No Holiday,Monday,Working Day,Clear/Partly Cloudy,24.926278,4634
2011-08-30,2011,Aug,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,24.382864,5204
2011-08-31,2011,Aug,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.055961,5058
2011-09-01,2011,Sept,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,25.211761000000003,5115
2011-09-02,2011,Sept,No Holiday,Friday,Working Day,Misty/Cloudy,24.797128,4727
2011-09-03,2011,Sept,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,25.961733000000002,4484
2011-09-04,2011,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,27.282589,4940
2011-09-05,2011,Sept,Holiday,Monday,Non-Working Day,Misty/Cloudy,25.651486000000002,3351
2011-09-06,2011,Sept,No Holiday,Tuesday,Working Day,Light Rain/Snow,21.1232,2710
2011-09-07,2011,Sept,No Holiday,Wednesday,Working Day,Light Rain/Snow,22.313388999999997,1996
2011-09-08,2011,Sept,No Holiday,Thursday,Working Day,Light Rain/Snow,22.769801,1842
2011-09-09,2011,Sept,No Holiday,Friday,Working Day,Misty/Cloudy,23.736786,3544
2011-09-10,2011,Sept,No Holiday,Saturday,Non-Working Day,Clear/Partly Cloudy,24.926442,5345
2011-09-11,2011,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,24.978389,5046
2011-09-12,2011,Sept,No Holiday,Monday,Working Day,Clear/Partly Cloudy,24.687330000000003,4713
2011-09-13,2011,Sept,No Holiday,Tuesday,Working Day,Clear/Partly Cloudy,24.745714000000003,4763
2011-09-14,2011,Sept,No Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.7029,4785
2011-09-15,2011,Sept,No Holiday,Thursday,Working Day,Misty/Cloudy,22.700511000000002,3659
2011-09-16,2011,Sept,No Holiday,Friday,Working Day,Misty/Cloudy,18.920475,4760
2011-09-17,2011,Sept,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,19.618992,4511
2011-09-18,2011,Sept,No Holiday,Sunday,Non-Working Day,Clear/Partly Cloudy,20.112017,4274
2011-09-19,2011,Sept,No Holiday,Monday,Working Day,Misty/Cloudy,21.716675,4539
2011-09-20,2011,Sept,No Holiday,Tuesday,Working Day,Misty/Cloudy,21.820897000000002,3641
2011-09-21,2011,Sept,No Holiday,Wednesday,Working Day,Misty/Cloudy,22.571853,4352
2011-09-22,2011,Sept,No Holiday,Thursday,Working Day,Misty/Cloudy,22.753483,4795
2011-09-23,2011,Sept,No Holiday,Friday,Working Day,Misty/Cloudy,21.407124999999997,2395
2011-09-24,2011,Sept,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,23.140892,5423
2011-09-25,2011,Sept,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,23.478116999999997,5010
2011-09-26,2011,Sept,No Holiday,Monday,Working Day,Misty/Cloudy,24.150722,4630
2011-09-27,2011,Sept,No Holiday,Tuesday,Working Day,Misty/Cloudy,23.555525,4120
2011-09-28,2011,Sept,No Holiday,Wednesday,Working Day,Misty/Cloudy,23.581477999999997,3907
2011-09-29,2011,Sept,No Holiday,Thursday,Working Day,Clear/Partly Cloudy,23.554992000000002,4839
2011-09-30,2011,Sept,No Holiday,Friday,Working Day,Clear/Partly Cloudy,22.337989,5202
2011-10-01,2011,Oct,No Holiday,Saturday,Non-Working Day,Misty/Cloudy,16.927383,2429
2011-10-02,2011,Oct,No Holiday,Sunday,Non-Working Day,Misty/Cloudy,14.157997,2918
